Flow Key,Flow Name,Amount,Unit,Categories,Type,Category,Mass_Equivalent_kg,Energy_Equivalent_MJ,Water_Mass_Equivalent_kg,kg_Factor,MJ_Factor,kg_water_factor,Mass_Water_Equivalent_kg
"('ecoinvent-3.12-biosphere', 'b4604f84-4a09-412e-86ed-078533d9da5d')",Acetonitrile,3.1643897981138526e-11,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),3.1643897981138526e-11,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'ef475b50-9cd0-4e7c-9c59-07868fe16e91')",Chromium VI,4.566533644099064e-06,kilogram,"('water', 'ground-, long-term')",emission,Waste Emissions (W),4.566533644099064e-06,,,1.0,,,
"('ecoinvent-3.12-biosphere', '934c5e25-5370-421c-b079-07d01c49dedb')",Diuron,2.0810844392898955e-11,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),2.0810844392898955e-11,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'e3b7b5aa-514e-430e-9544-07d8f5b8d494')",Boron,9.511874076512194e-09,kilogram,"('soil',)",emission,Waste Emissions (W),9.511874076512194e-09,,,1.0,,,
"('ecoinvent-3.12-biosphere', '7f9f9b59-35a0-584d-ad5e-07da01dde768')",Scandium,1.494854825167996e-11,kilogram,"('natural resource', 'in ground')",natural resource,Natural Resources (V),1.494854825167996e-11,,,1.0,,,
"('ecoinvent-3.12-biosphere', '8354bde6-ab9f-5c21-ad79-07dbab26cd22')",Atrazine,6.286663745773391e-12,kilogram,"('soil', 'forestry')",emission,Waste Emissions (W),6.286663745773391e-12,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'abb7f444-e74a-46b5-a6a5-080a847cbbc5')",Strontium II,5.961632987632463e-08,kilogram,"('air', 'urban air close to ground')",emission,Waste Emissions (W),5.961632987632463e-08,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'f8f772bc-7204-4fda-aa97-080fd0f1b34c')",Titanium ion,3.394447555115406e-07,kilogram,"('air', 'urban air close to ground')",emission,Waste Emissions (W),3.394447555115406e-07,,,1.0,,,
"('ecoinvent-3.12-biosphere', '89f4d4b2-f081-5a19-bf92-0815c6c0fcde')",Mesotrione,5.454252979167757e-16,kilogram,"('water',)",emission,Waste Emissions (W),5.454252979167757e-16,,,1.0,,,
"('ecoinvent-3.12-biosphere', '46bce580-a40e-4bb4-a835-083a519f3b50')",Pyridate,8.268637269810402e-15,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),8.268637269810402e-15,,,1.0,,,
"('ecoinvent-3.12-biosphere', '2f1d0962-be5d-4e6d-9c9b-0846722d9c65')",Glutaraldehyde,9.038816877727904e-09,kilogram,"('water', 'ocean')",emission,Waste Emissions (W),9.038816877727904e-09,,,1.0,,,
"('ecoinvent-3.12-biosphere', '4446c2d0-1bc1-422f-9b97-0867d5602dbb')",Ethylene oxide,3.4467394440382104e-07,kilogram,"('air', 'urban air close to ground')",emission,Waste Emissions (W),3.4467394440382104e-07,,,1.0,,,
"('ecoinvent-3.12-biosphere', '2cbe35d9-052c-4fe8-8eb2-08769f10b2c7')",Formic acid,1.0444806489352296e-09,kilogram,"('air', 'urban air close to ground')",emission,Waste Emissions (W),1.0444806489352296e-09,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'fe09f756-99f3-5dbb-b8a8-0896cc409887')",Epoxiconazole,1.0554480814808147e-12,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),1.0554480814808147e-12,,,1.0,,,
"('ecoinvent-3.12-biosphere', '6575edf4-826c-4e99-a21a-08a1afec1396')",Silicon,4.382646732461175e-06,kilogram,"('soil',)",emission,Waste Emissions (W),4.382646732461175e-06,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'e69dfe04-4b45-4e87-a6ce-08b1af61ca22')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",5.964736012485844e-18,kilogram,"('air', 'low population density, long-term')",emission,Waste Emissions (W),5.964736012485844e-18,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'bfc0bf1c-e5e2-4702-a502-08c892031837')",Sulfate,0.008006202328420415,kilogram,"('water', 'ground-, long-term')",emission,Waste Emissions (W),0.008006202328420415,,,1.0,,,
"('ecoinvent-3.12-biosphere', '2451f9df-0596-49ec-8380-08e4ad75a153')","Hydrocarbons, aliphatic, alkanes, unspecified",3.2576164589449693e-07,kilogram,"('air',)",emission,Waste Emissions (W),3.2576164589449693e-07,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'e44fd74a-5967-4e79-bad0-08e7363b630c')",Triclopyr,-1.287820866059433e-12,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),1.287820866059433e-12,,,1.0,,,
