Process Key,Process Name,Location,Reference Product,Unit,ISIC Code,ISIC Division,ISIC Section,ISIC Description,LOCATION Code,UN Group,V_kg,Ri_kg,Rr_kg,Er_kg,W_kg,eta-_kg,eta+_kg,LFI_kg,CFI_kg,V_MJ,Ri_MJ,Rr_MJ,Er_MJ,W_MJ,eta-_MJ,eta+_MJ,LFI_MJ,CFI_MJ
"('ecoinvent-3.12-cutoff', 'a49f63ebd15f9be61d7b752e80192d07')","cement production, CEM III/B",Europe without Switzerland,"cement, CEM III/B",kilogram,2394,23,C,Manufacture of other non-metallic mineral products,Europe without Switzerland,WEOG,761.5162606039963,0.0,1.0,0.46230508067221404,760.3092706822765,0.9984150175325704,0.0019202545714682275,0.9992075087662853,0.0009601272857341137,2.7160544676889367,0.0,0.0,0.0,0.23478719222220595,0.08644421347778936,0.0,0.5432221067388947,0.0
"('ecoinvent-3.12-cutoff', '6dd2267700ccbe007e81ccb4945105c0')","market for heat, for reuse in municipal waste incineration only",SE,"heat, for reuse in municipal waste incineration only",megajoule,3530,35,D,"Electricity, gas, steam and air conditioning supply",SE,WEOG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ecoinvent-3.12-cutoff', '38e9c4870f95698235a707352330a7e2')",market for coal tar,GLO,coal tar,kilogram,1910,19,C,Manufacture of coke and refined petroleum products,GLO,Global,1037.5118137765976,0.0,1.0,3.6751979250029607,1030.7151755670254,0.993449098006092,0.004506163556812904,0.9967245490030462,0.002253081778406452,44.597701269926546,0.0,0.0,0.0,0.049164334913286006,0.0011023961664687607,0.0,0.5005511980832343,0.0
"('ecoinvent-3.12-cutoff', '67114c0664d65a4bd09c2c54c794bf44')","land use change, forest, intensive",BR-PR,"land use change, forest, intensive",hectare,0210,02,A,Forestry and logging,BR-PR,GRULAC,4040.9915605845813,0.0,0.0,1.75049794388419,14070.294549046705,3.48189159469842,0.0004331852511047952,2.2409457973492097,0.0002165926255523976,10.293441332349056,0.0,0.0,0.0,0.14111965000768392,0.013709666714103586,0.0,0.5068548333570518,0.0
"('ecoinvent-3.12-cutoff', 'b59ff95f7307336828059e76b08b8a9e')",market for phenyl acetic acid,GLO,phenyl acetic acid,kilogram,2011,20,C,Manufacture of chemicals and chemical products,GLO,Global,20829.045399856415,0.0,1.0,29.33706604493463,20766.12642243678,0.9969792673542269,0.0014564789438283024,0.9984896336771135,0.0007282394719141512,116.33483425278902,0.0,0.0,0.0,2.1313806251450926,0.01832108704873145,0.0,0.5091605435243658,0.0
"('ecoinvent-3.12-cutoff', '877162833685845028eb74b8ea8bf254')","mine construction, phosphate rock",US,"mine infrastructure, phosphate rock",unit,4290,42,F,Civil engineering,US,WEOG,1160536674146.868,0.0,0.0,1432090800.6389291,1158374714523.4983,0.9981371035732594,0.0012339901293439827,0.9990685517866297,0.0006169950646719914,2819668819.3590126,0.0,0.0,0.0,127660791.86875218,0.04527510145598338,0.0,0.5226375507279917,0.0
"('ecoinvent-3.12-cutoff', 'f6d4dc1e3e3d4b410d82fcbbfcdb2f9f')","land already in use, perennial cropland to annual crop",BR-SC,"land tenure, arable land, measured as carbon net primary productivity, annual crop",kilogram,0161,01,A,"Crop and animal production, hunting and related service activities",BR-SC,GRULAC,109.09034590877376,0.0,1.0,0.638840178726479,130.52690400220337,1.1965027969693653,0.015022779193467319,1.0982513984846827,0.007511389596733659,3.756567854078173,0.0,0.0,0.0,0.05150129284875012,0.01370966660241202,0.0,0.5068548333012061,0.0
"('ecoinvent-3.12-cutoff', '222cdd7dfb63b85842a48be100afc2ad')","petroleum and gas production, onshore",OM,"natural gas, high pressure",cubic meter,06,06,B,Extraction of crude petroleum and natural gas,OM,Asia-Pacific,95.55775441993009,0.0,0.0,0.14547403382603125,94.25109559457279,0.9863259781135587,0.0015223676478074532,0.9931629890567792,0.0007611838239037266,42.46785109831647,0.0,0.0,0.0,0.02151506714413842,0.0005066201040954325,0.0,0.5002533100520477,0.0
"('ecoinvent-3.12-cutoff', 'ef4908c3f240d980cc9fa9373ac7f9ec')","treatment of waste bitumen sheet, municipal incineration",GLO,"heat, for reuse in municipal waste incineration only",megajoule,3821,38,E,"Waste collection, treatment and disposal activities; materials recovery",GLO,Global,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ecoinvent-3.12-cutoff', '3684a4c1624b5bf9f3a93b6448231189')","market for electricity, high voltage",PA,"electricity, high voltage",kilowatt hour,3510,35,D,"Electricity, gas, steam and air conditioning supply",PA,GRULAC,37669.66914403995,0.0,0.0,0.04527849583467153,37669.11468612242,0.9999852810515693,1.2019881475873125e-06,0.9999926405257846,6.009940737936563e-07,1.4021447048808557,0.0,3.6,0.0,0.025433904693642623,0.0181392866264854,2.5674953430044885,0.5090696433132428,1.2837476715022442
